Wydawnictwo;Prestiz
Instytut Historii im. Tadeusza Manteuffla Polskiej Akademii Nauk;1
Instytut Historii Nauki im. Ludwika i Aleksandra Birkenmajerów Polskiej Akademii Nauk;1
Instytut im. Oskara Kolberga;1
Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda Polskiej Akademii Nauk;1
Instytut Informatyki Teoretycznej i Stosowanej Polskiej Akademii Nauk;1
Instytut Inżynierii Chemicznej Polskiej Akademii Nauk;1
Instytut Języka Polskiego Polskiej Akademii Nauk;1
Instytut Kaszubski;1
Instytut Katalizy i Fizykochemii Powierzchni im. Jerzego Habera Polskiej Akademii Nauk;1
Instytut Kultur Śródziemnomorskich i Orientalnych Polskiej Akademii Nauk;1
Instytut Kultury Popularnej;1
Instytut Kultury Regionalnej i Badań Literackich im. Franciszka Karpińskiego. Stowarzyszenie;1
Instytut Literatury;1
Instytut Lotnictwa;1
Instytut Maszyn Przepływowych im. Roberta Szewalskiego Polskiej Akademii Nauk;1
Instytut Matematyczny Polskiej Akademii Nauk;1
Instytut Mechaniki Górotworu Polskiej Akademii Nauk;1
Instytut Medycyny Doświadczalnej i Klinicznej im. Mirosława Mossakowskiego Polskiej Akademii Nauk;1
Instytut Medycyny Pracy im. prof. dr. med. J. Nofera;1
Instytut Metalurgii i Inżynierii Materiałowej im. Aleksandra Krupkowskiego Polskiej Akademii Nauk;1
Instytut Metalurgii Żelaza im. Stanisława Staszica;1
Instytut Meteorologii i Gospodarki Wodnej - Państwowy Instytut Badawczy;1
Instytut Myśli Józefa Tischnera;1
Instytut Nafty i Gazu - Państwowy Instytut Badawczy;1
Instytut Nauk Ekonomicznych Polskiej Akademii Nauk;1
Instytut Nauk Geologicznych Polskiej Akademii Nauk;1
Instytut Nauk Prawnych Polskiej Akademii Nauk;1
Instytut Naukowo-Wydawniczy Spatium;1
Instytut Niskich Temperatur i Badań Strukturalnych im. Włodzimierza Trzebiatowskiego Polskiej Akademii Nauk;1
Instytut Oceanologii Polskiej Akademii Nauk;1
Instytut Ochrony Przyrody Polskiej Akademii Nauk;1
Instytut Ochrony Roślin - Państwowy Instytut Badawczy;1
Instytut Ochrony Środowiska - Państwowy Instytut Badawczy;1
Instytut Odlewnictwa;1
Instytut Ogrodnictwa;1
Instytut Paleobiologii im. Romana Kozłowskiego Polskiej Akademii Nauk;1
Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni Przeciwko Narodowi Polskiemu;1
Instytut Parazytologii im. Witolda Stefańskiego Polskiej Akademii Nauk;1
Instytut Podstaw Informatyki Polskiej Akademii Nauk;1
Instytut Podstaw Inżynierii Środowiska Polskiej Akademii Nauk;1
Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk;1
Instytut Pojazdów Szynowych TABOR;1
Instytut Pracy i Spraw Socjalnych;1
Instytut Prawa Gospodarczego Sp. z o.o.;1
Instytut Psychiatrii i Neurologii;1
Instytut Psychologii Polskiej Akademii Nauk;1
Instytut Rozrodu Zwierząt i Badań Żywności Polskiej Akademii Nauk;1
Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk;1
Instytut Rybactwa Śródlądowego im. Stanisława Sakowicza;1
Instytut Slawistyki Polskiej Akademii Nauk;1
Instytut Solidarności i Męstwa im. Witolda Pileckiego;1
Instytut Statystyki Kościoła Katolickiego SAC;1
Instytut Studiów Politycznych Polskiej Akademii Nauk;1
Instytut Systematyki i Ewolucji Zwierząt Polskiej Akademii Nauk;1
Instytut Sztuki Polskiej Akademii Nauk;1
Instytut Środowiska Rolniczego i Leśnego Polskiej Akademii Nauk;1
Instytut Teatralny im. Zbigniewa Raszewskiego;1
Instytut Techniczny Wojsk Lotniczych;1
Instytut Techniki Budowlanej;1
Instytut Techniki Górniczej KOMAG;1
Instytut Technologiczno-Przyrodniczy;1
Instytut Technologii Eksploatacji - Państwowy Instytut Badawczy;1
Instytut Uprawy Nawożenia i Gleboznawstwa - Państwowy Instytut Badawczy;1
Instytut Wydawniczy EuroPrawo;1
Instytut Wydawniczy Książka i Prasa;1
Instytut Wymiaru Sprawiedliwości;1
Instytut Wysokich Ciśnień Polskiej Akademii Nauk;1
Instytut Zachodni im. Zygmunta Wojciechowskiego;1
Instytut Zootechniki Państwowy Instytut Badawczy;1
Intersentia Ltd;1
IOP Publishing;1
IOS Press;1
IRSA;1
Island Press;1
Jan Thorbecke Verlag;1
John Wiley & Sons;1
Jyväskylän yliopisto;1
Kaliskie Towarzystwo Przyjaciół Nauk;1
Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie;1
Kieleckie Towarzystwo Naukowe;1
Koninklijke Vlaamse Academie van België voor Wetenschappen en Kunsten;1
Instytut Rozwoju Miast i Regionów;1
Krakowski Instytut Prawa Karnego;1
Książnica Pomorska;1
Księgarnia Akademicka;1
Księgarnia św. Jacka;1
Kujawsko-Pomorska Szkoła Wyższa w Bydgoszczy;1
Language Science Press;1
Lavoisier;1
Leiden University Press;1
Leipziger Universitätsverlag;1
L'Erma di Bretschneider;1
Les Belles Lettres;1
Lexxion;1
LIBER PRO ARTE;1
Liverpool University Press;1
Logos Verlag Berlin;1
Lotnicza Akademia Wojskowa;1
Macmillan Publishers;1
Magnolia Press;1
Magyar Tudományos Akadémia;1
Manchester University Press;1
Mathematical Association of America;1
McGill-Queen's University Press;1
Medical Education;1
Medical Tribune Polska;1
