LP.;Nazwa konferencji;Liczba punktów;Przypisane dyscypliny naukowe
100;"Conference on Learning Theory [COLT]
(Annual Conference on Computational Learning Theory [COLT])";200;"informatyka techniczna i telekomunikacja;
informatyka;"
101;Annual Conference on Evolutionary Programming [EP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
102;Annual Conference on Innovation and Technology in Computer Science Education [ITiCSE];140;"informatyka techniczna i telekomunikacja;
informatyka;"
103;Annual Conference on Privacy, Security and Trust [PST];20;"informatyka techniczna i telekomunikacja;
informatyka;"
104;Annual Convention for Survey, Mapping and Remote Sensing [RS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
105;Annual Fall Workshop on Computational Geometry [CGW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
106;Annual International Conference on Ada [TRI-Ada];20;"informatyka techniczna i telekomunikacja;
informatyka;"
107;"Annual International Workshop on Presence [ISPR]
(Annual International Workshop on Presence [PRESENCE])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
108;Annual Meeting of the Decision Sciences Institute [DSI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
109;Annual PKI R&D Workshop [PKI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
110;Annual PPIG Workshop [PPIG];70;"informatyka techniczna i telekomunikacja;
informatyka;"
111;Annual Simulation Symposium [ANSS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
112;Selected Areas in Cryptography [SAC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
113;AoM Organizational Communication and Information Systems [OCIS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
114;Apple University Consortium Academic and Developers Conference [AUCADC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
115;Application of Computers and Operations Research in the Minerals Industries [APCOMin];140;"informatyka techniczna i telekomunikacja;
informatyka;"
116;Application of Concurrency to System Design [ACSD];70;"informatyka techniczna i telekomunikacja;
informatyka;"
117;Applications of Information Visualization [IV-App];20;"informatyka techniczna i telekomunikacja;
informatyka;"
118;Applications of Natural Language to Data Bases [NLDB];20;"informatyka techniczna i telekomunikacja;
informatyka;"
119;Applied Computing Conference [ACC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
120;Applied Perception in Graphics and Visualization [APGV];20;"informatyka techniczna i telekomunikacja;
informatyka;"
121;Architectural Support for Programming Languages and Operating Systems [ASPLOS];200;"informatyka techniczna i telekomunikacja;
informatyka;"
122;Argentine Symposium on Artificial Intelligence [ASAI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
123;Artificial Intelligence in Knowledge Management [AIKM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
124;Artificial Intelligence in Medicine [AIIM];140;"informatyka techniczna i telekomunikacja;
informatyka;"
125;Artificial Intelligence in Medicine in Europe [AIME];70;"informatyka techniczna i telekomunikacja;
informatyka;"
126;Artificial Neural Networks in Engineering Conference [ANNIE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
127;Asia Information Retrieval Symposium [AIRS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
128;Asia International Conference on Modelling and Simulation [AMS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
129;Asia Pacific Conference on Communications [APCC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
130;Asia Pacific Conference on Hardware Description Languages (was Asia Pacific CHipDesign Languages) [APCHDL];20;"informatyka techniczna i telekomunikacja;
informatyka;"
131;Asia Pacific Decision Science Institute Conference [APDSI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
132;"Asia and South Pacific Design Automation Conference [ASPDAC]
(Asia Pacific Design Automation Conference [ASDAC])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
133;Asia Pacific Research Symposium on Accounting Information Systems [APRSAIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
134;"Web and Big Data [APWEB]
(Asia Pacific Web Conference [APWEB])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
135;Asian Computing Science Conference [ASIAN];70;"informatyka techniczna i telekomunikacja;
informatyka;"
136;Asian Conference on Computer Vision [ACCV];70;"informatyka techniczna i telekomunikacja;
informatyka;"
137;Asian International Mobile Computing Conference [AMOC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
138;Asian Symposium on Computer Mathematics [ASCM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
139;ASIAN Symposium on Programming Languages and Systems [APLAS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
140;Asia-Pacific Bioinformatics Conference [APBC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
141;Asia-Pacific Computer Human Interaction Conference [APCHI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
142;Asia-Pacific Conference on Complex Systems [Complex];20;"informatyka techniczna i telekomunikacja;
informatyka;"
143;Asia-Pacific Conference on Conceptual Modelling [APCCM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
144;Asia-Pacific Conference on Simulated Evolution and Learning [SEAL];70;"informatyka techniczna i telekomunikacja;
informatyka;"
145;Asia-Pacific Forum on Engineering and Technology Education [AFETE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
146;Asia-Pacific Network Operations and Management Symposium [APNOMS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
147;Asia-Pacific Services Computing Conference [APSCC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
148;Asia-Pacific Software Engineering Conference [APSEC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
149;Asilomar Conference on Signals, Systems and Computing [ACSSC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
150;Aspect-Orientation Asia [AO-Asia];20;"informatyka techniczna i telekomunikacja;
informatyka;"
151;Aspect-Oriented Software Development [AOSD];140;"informatyka techniczna i telekomunikacja;
informatyka;"
152;Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference [CAADRIA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
153;Association of Computational Linguistics [ACL];200;"informatyka techniczna i telekomunikacja;
informatyka;"
154;Australasia Conference on Information Security and Privacy [AISP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
155;Australasian Cognitive Science Society Conference [AuCSS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
156;Australasian Compumod Users' Conference [COMPUMOD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
157;Australasian Computer Architecture Conference [ACAC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
158;Australasian Computer Music Conference [ACMA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
