LP.;Nazwa konferencji;Liczba punktów;Przypisane dyscypliny naukowe
800;International Conference on Information and Communications Technology [ICICT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
801;International Conference on Information and Emerging Technologies [ICIET];20;"informatyka techniczna i telekomunikacja;
informatyka;"
802;International Conference on Information and Knowledge Engineering [IKE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
803;International Conference on Information Fusion [FUSION];20;"informatyka techniczna i telekomunikacja;
informatyka;"
804;International Conference on Information Processing and Management of Uncertainty [IPMU];20;"informatyka techniczna i telekomunikacja;
informatyka;"
805;International Conference on Information Resources Management [Conf-IRM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
806;International Conference on Information Security and Assurance [ISA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
807;International Conference on Information Security and Cryptography [SECRYPT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
808;International Conference on Information Security and Cryptology [ICISC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
809;International Conference on Information Systems [ICIS];200;"informatyka techniczna i telekomunikacja;
informatyka;"
810;International Conference on Information Systems Analysis and Synthesis [ISAS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
811;International Conference on Information Systems Development [ISD];140;"informatyka techniczna i telekomunikacja;
informatyka;"
812;International Conference on Information Systems Security [ICISS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
813;International Conference on Information Systems Technology and its Application [ISTA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
814;International Conference on Information Technology and Applications [ICITA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
815;International Conference on Information Technology Interfaces [ITI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
816;International Conference on Information Technology: Coding and Computing [ITCC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
817;International Conference on Information Theoretic Security [ICITS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
818;International Conference on Information Visualisation [IV];70;"informatyka techniczna i telekomunikacja;
informatyka;"
819;International Conference on Information, Communications and Signal Processing [ICICS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
820;International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems [CPAIOR];70;"informatyka techniczna i telekomunikacja;
informatyka;"
821;International Conference on Intelligent Agents, Web Technologies, and Internet Commerce [IAWTIC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
822;International Conference on Intelligent Data Engineering and Automated Learning [IDEAL];20;"informatyka techniczna i telekomunikacja;
informatyka;"
823;International Conference on Intelligent Pervasive Computing [IPC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
824;International Conference on Intelligent Systems [ICIL];20;"informatyka techniczna i telekomunikacja;
informatyka;"
825;International Conference on Intelligent Systems and Knowledge Engineering [ISKE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
826;International Conference on Intelligent Systems Designs and Applications [ISDA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
827;International Conference on Intelligent Text Processing and Computational Linguistics [CICLING];70;"informatyka techniczna i telekomunikacja;
informatyka;"
828;International Conference on Intelligent Tutoring Systems [ITS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
829;International Conference on Intelligent User Interfaces [IUI];140;"informatyka techniczna i telekomunikacja;
informatyka;"
830;International Conference on Interaction Sciences: Information Technology, Culture and Human [ICIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
831;International Conference on International and Communication Technologies [ICICTE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
832;International Conference on Internet and Web Applications and Services [ICIW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
833;International Conference on Internet Computing [IC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
834;International Conference on Internet Computing in Science and Engineering [ICICSE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
835;"International Conference on Internet Monitoring and Protection [ICIMP]
(International Conference on Internet Monitoring and Protocol [ICIMP])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
836;International Conference on Internet Technologies and Applications [ITA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
837;International Conference on Knowledge Discovery and Data Mining [WKDD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
838;International Conference on Knowledge Engineering and Knowledge Management [EKAW];70;"informatyka techniczna i telekomunikacja;
informatyka;"
839;International Conference on Knowledge Engineering and Ontology Development [KEOD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
840;International Conference on Knowledge Science, Engineering and Management [KSEM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
841;International Conference on Knowledge-Based and Intelligent Information and Engineering Systems [KES];70;"informatyka techniczna i telekomunikacja;
informatyka;"
842;International Conference on Knowledge-based Intelligent Electronic Systems [KIES];20;"informatyka techniczna i telekomunikacja;
informatyka;"
843;International Conference on Language and Automata Theory and Applications [LATA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
844;"International Conference on Legal Knowledge and Information Systems [JURIX]
(International Conference on Legal Knowledge-based Systems [JURIX])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
845;International Conference on Logic Programming [ICLP];140;"informatyka techniczna i telekomunikacja;
informatyka;"
846;International Conference on Logic Programming and Non-monotonic Reasoning [LPNMR];140;"informatyka techniczna i telekomunikacja;
informatyka;"
847;International Conference on Machine Learning [ICML];200;"informatyka techniczna i telekomunikacja;
informatyka;"
848;International Conference on Machine Learning and Applications [ICMLA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
849;International Conference on Machine Learning and Cybernetics [ICMLC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
850;International Conference on Machine Vision [ICMV];20;"informatyka techniczna i telekomunikacja;
informatyka;"
851;International Conference on Management of Data [COMAD];70;"informatyka techniczna i telekomunikacja;
informatyka;"
852;International Conference on Massively Parallel Computing Systems [MPCS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
853;International Conference on Medical Information? Visualisation [MediVis];20;"informatyka techniczna i telekomunikacja;
informatyka;"
854;International Conference on Mobile and Ubiquitous Systems: Networks and Services [Mobiquitous];140;"informatyka techniczna i telekomunikacja;
informatyka;"
855;International Conference on Mobile Business [ICMB];20;"informatyka techniczna i telekomunikacja;
informatyka;"
856;International Conference on Mobile Data Management [MDM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
857;International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies [UBICOMM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
858;International Conference on Model Transformation [ICMT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
859;International Conference on Modelling Decisions for Artificial Intelligence [MDAI];70;"informatyka techniczna i telekomunikacja;
informatyka;"
860;International Conference on Multimedia Modelling [MMM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
861;"International Conference on Multimodal Interaction [ICMI]
(International Conference on Multimodal Interfaces [ICMI])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
862;International Conference on Natural Computation [ICNC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
863;International Conference on network and System Security [NSS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
864;International Conference on Network Protocols [ICNP];140;"informatyka techniczna i telekomunikacja;
informatyka;"
865;International Conference on Networked Computing [INC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
866;International Conference on Neural Information Processing [ICONIP];140;"informatyka techniczna i telekomunikacja;
informatyka;"
867;International Conference on Neural, Parallel and Scientific Computations [NPSC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
868;International Conference on New Trends of Information and Service Science [NISS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
869;International Conference on Next Generation Web Services Practices [NWESP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
870;International Conference on Optimization: Techniques And Applications [ICOTA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
871;International Conference on Pairing-based Cryptography [Pairing];20;"informatyka techniczna i telekomunikacja;
informatyka;"
872;International Conference on Parallel and Distributed Computing, Applications and Technologies [PDCAT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
873;International Conference on Parallel and Distributed Processing Techniques and Applications [PDPTA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
874;International Conference on Parallel and Distributed Systems [ICPADS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
875;International Conference on Parallel Architecture and Compilation Techniques [PACT];140;"informatyka techniczna i telekomunikacja;
informatyka;"
876;Euro-Par: International European Conference on Parallel and Distributed Computing;140;"informatyka techniczna i telekomunikacja;
informatyka;"
877;International Conference on Parallel Processing [ICPP];140;"informatyka techniczna i telekomunikacja;
informatyka;"
878;International Conference on Parallel Processing and Applied Mathematics [PPAM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
879;International Conference on Pattern Recognition [ICPR];70;"informatyka techniczna i telekomunikacja;
informatyka;"
880;International Conference on Persuasive Technology [Persuasive];70;"informatyka techniczna i telekomunikacja;
informatyka;"
881;International Conference on Pervasive Computing and Applications [ICPCA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
882;International Conference on Pervasive Services [ICPS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
883;International Conference on Principles and Practice of Constraint Programming [CP];140;"informatyka techniczna i telekomunikacja;
informatyka;"
884;International Conference on Principles and Practice of Declarative Programming [PPDP];70;"informatyka techniczna i telekomunikacja;
informatyka;"
885;International Conference on Principles of Distributed Systems [OPODIS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
886;International Conference on Probability, Statistics and Operational Research [PSOR];20;"informatyka techniczna i telekomunikacja;
informatyka;"
887;IEEE International Conference on Program Comprehension [ICPC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
888;International Conference on Provable Security [ProvSec];70;"informatyka techniczna i telekomunikacja;
informatyka;"
889;International Conference on Qualitative Research in IT & IT in Qualitative Research [QualIT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
890;"International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness [Qshine]
(International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks [Qsine])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
891;"Software Quality, Reliability, and Security [QRS]
(International Conference on Quality Software [QSIC])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
892;"International Conference on Embedded and Real Time Computing Systems and Applications [RTCSA]
(International Conference on Real-Time and Embedded Computing Systems and Applications [RTCSA])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
893;International Conference on Recent Advances in Information Technology and Applications [RAITA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
894;International Conference on Recent Advances in Natural Language Processing [RANLP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
895;"International Conference on Relational and AlgebraicMethods in Computer Science [RAMiCS]
(International Conference on Relational Methods in Computer Science [RelMiCS])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
896;International Conference on Relations, Orders and Graphs: Interaction with Computer Science [ROGICS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
897;International Conference on Reliable Software Technologies [Ada-Europe];70;"informatyka techniczna i telekomunikacja;
informatyka;"
898;International Conference on Research Challenges in Information Science [RCIS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
899;International Conference on Risks and Security of Internet and Systems [CRiSIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
900;"International Conference on Robotics, Vision, Signal Processing and Power Applications [RoVISP]
(International Conference on Robotics [ROVPIA])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
901;International Joint Conference on Rough Sets [IJCRS (was RSCTC)];20;"informatyka techniczna i telekomunikacja;
informatyka;"
902;RuleML: International Web Rule Symposium [RuleML];70;"informatyka techniczna i telekomunikacja;
informatyka;"
903;International Conference on Scientific and Statistical Data Base Management [SSDBM];140;"informatyka techniczna i telekomunikacja;
informatyka;"
904;International Conference on Security and Privacy for Communication Networks [SecureComm];70;"informatyka techniczna i telekomunikacja;
informatyka;"
905;International Conference on Security in Pervasive Computing [ICSPC];140;"informatyka techniczna i telekomunikacja;
informatyka;"
906;International Conference on Security of Information and Networks [SIN];20;"informatyka techniczna i telekomunikacja;
informatyka;"
907;International Conference on Semantic and Digital Media Technologies [SAMT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
908;International Conference on Semantics Knowledge and Grid [SKG];20;"informatyka techniczna i telekomunikacja;
informatyka;"
909;International Conference on Sequences and their Applications [SETA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
910;International Conference on Service Oriented Computing [ICSOC];140;"informatyka techniczna i telekomunikacja;
informatyka;"
911;International Conference on Software and Data Technologies [ICSoft];70;"informatyka techniczna i telekomunikacja;
informatyka;"
912;International Conference on Software Composition [SC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
913;International Conference on Software Development [SWDC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
914;International Conference on Software Engineering [ICSE];200;"informatyka techniczna i telekomunikacja;
informatyka;"
915;International Conference on Software Engineering Advances [ICSEA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
916;International Conference on Software Engineering and Formal Methods [SEFM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
917;International Conference on Software Engineering and Knowledge Engineering [SEKE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
918;International Conference on Software Engineering Theory and Practice [SETP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
919;International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing [SNPD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
920;International Conference on Software Language Engineering [SLE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
921;International Conference on Intelligent Software Methodologies, Tools, and Techniques (was International Conference on Software Methods and Tools) [SoMeT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
922;"International Conference on Software and System Processes [ICSSP]
(International Conference of Software and Systems Process (was ICSP prior to 2011) [ICSSP])";140;"informatyka techniczna i telekomunikacja;
informatyka;"
923;Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement [IWSM Mensura];20;"informatyka techniczna i telekomunikacja;
informatyka;"
924;International Conference on Software Quality Management [SQM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
925;International Conference on Software Reuse [ICSR];70;"informatyka techniczna i telekomunikacja;
informatyka;"
926;International Conference on Software Testing, Verification and Validation [ICST];140;"informatyka techniczna i telekomunikacja;
informatyka;"
927;International Conference on Systems Engineering [ICSEng];20;"informatyka techniczna i telekomunikacja;
informatyka;"
928;International Conference on Systems Research, Informatics and Cybernetics [ICSRIC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
929;International Conference on Systems Thinking in Management [STM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
930;International Conference on Technology and Business Management [ICTBM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
931;International Conference on Temporal Logic [ICTL];140;"informatyka techniczna i telekomunikacja;
informatyka;"
932;International Conference on Tests and Proofs [TAP];70;"informatyka techniczna i telekomunikacja;
informatyka;"
933;"International Conference on the Application and Theory of Petri Nets and Concurrency [ICATPN]
(International Conference on the Application and Theory of Petri Nets [ICATPN])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
934;International Conference on the Foundations of Digital Games [FDG];20;"informatyka techniczna i telekomunikacja;
informatyka;"
935;International Conference on the Principles of Knowledge Representation and Reasoning [KR];200;"informatyka techniczna i telekomunikacja;
informatyka;"
936;International Conference on the Simulation and Synthesis of Living Systems [ALIFE];140;"informatyka techniczna i telekomunikacja;
informatyka;"
937;International Conference on the Statistical Analysis of Textual Data [JADT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
938;International Conference on the Theory and Application of Cryptographic Techniques [EuroCrypt];200;"informatyka techniczna i telekomunikacja;
informatyka;"
939;International Conference on the Theory and Application of Cryptology and Information Security [ASIACRYPT];140;"informatyka techniczna i telekomunikacja;
informatyka;"
940;International Conference on Model Driven Engineering Languages and Systems [MODELS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
941;Conference on Interactive Theorem Proving [ITP];140;"informatyka techniczna i telekomunikacja;
informatyka;"
942;International Conference on Theorem Proving with Analytic Tableaux and Related Methods [TABLEAUX];140;"informatyka techniczna i telekomunikacja;
informatyka;"
943;International Conference on Theoretical and Mathematical Foundations of Computer Science [TMFCS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
944;International Conference on Theoretical and Methodological Issues in machine Translation [TMI];70;"informatyka techniczna i telekomunikacja;
informatyka;"
945;International Conference on Theory and Applications of Computational Science [TACS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
946;International Conference on Theory and Applications of Satisfiability Testing [SAT];140;"informatyka techniczna i telekomunikacja;
informatyka;"
947;International Conference on Tools with Artificial Intelligence [ICTAI];70;"informatyka techniczna i telekomunikacja;
informatyka;"
948;International Conference on Trust Management [iTrust];20;"informatyka techniczna i telekomunikacja;
informatyka;"
949;International Conference on Trust, Privacy and Security in Digital Business [TrustBus];70;"informatyka techniczna i telekomunikacja;
informatyka;"
950;International Conference on Ubiquitous Intelligence and Computing [UIC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
951;"International Conference on Unconventional Computation and Natural Computation [UC]
(International Conference on Unconventional Computation [UC])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
952;International Conference on User Modelling, Adaptation, and Personalization (was AH and UM) [UMAP];70;"informatyka techniczna i telekomunikacja;
informatyka;"
953;International Meeting on High Performance Computing for Computational Science [VECPAR];70;"informatyka techniczna i telekomunikacja;
informatyka;"
954;International Conference on Very Large Databases [VLDB];200;"informatyka techniczna i telekomunikacja;
informatyka;"
955;International Conference on Virtual Execution Environments [VEE];140;"informatyka techniczna i telekomunikacja;
informatyka;"
956;International Conference on Virtual Systems and MultiMedia [VSMM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
957;International Conference on Visual Information Systems [VISUAL];20;"informatyka techniczna i telekomunikacja;
informatyka;"
958;International Conference on VLSI Design [VLSID];20;"informatyka techniczna i telekomunikacja;
informatyka;"
959;International Conference on Web Engineering [ICWE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
960;International Conference on Web Information Systems and Technologies [WEBIST];20;"informatyka techniczna i telekomunikacja;
informatyka;"
961;International Conference on Web Information Systems Engineering [WISE];140;"informatyka techniczna i telekomunikacja;
informatyka;"
962;International Conference on Web-Age Information Management [WAIM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
963;International Conference on Web-based Modelling and Simulation [WebSim];20;"informatyka techniczna i telekomunikacja;
informatyka;"
964;International Conference on Worldwide Computing and Its Applications [WWCA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
965;International Conference Software and Systems Engineering and their Applications [ICSSEA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
966;International Conference on Practice and Theory in Public Key Cryptography [PKC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
967;International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision [WSCG];70;"informatyka techniczna i telekomunikacja;
informatyka;"
968;International Congress of Chinese Mathematicians [ICCM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
969;International Congress of Mathematicians [ICM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
970;International Congress on Computational and Applied Mathematics [ICCAM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
971;International Congress on Modelling and Simulation [MODSIM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
972;International CSI Computer Conference [CSICC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
973;International Database Engineering and Applications Symposium [IDEAS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
974;International Forum on Applied Wearable Computing [IFAWC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
975;International French Speaking Conference on Logic and Constraint Programming [JFPLC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
976;International Frontiers of Algorithmics Workshop [FAW];70;"informatyka techniczna i telekomunikacja;
informatyka;"
977;"International FLINS Conference on Robotics and Artificial Intelligence [FLINS]
(International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference [FLINS])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
978;International ICSC Congress on Intelligent Systems and Applications [IICISA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
979;International IEEE Security in Storage Workshop [SISW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
980;International IEEE Workshop on Software Evolvability [SE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
981;International Conference on Information Technology in Regional Areas [ITiRA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
982;International Joint Conference CAAP/FASE on Theory and Practice of Software Development [TAPSOFT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
983;International Joint Conference on Artificial Intelligence [IJCAI];200;"informatyka techniczna i telekomunikacja;
informatyka;"
984;International Joint Conference on Automated Reasoning [IJCAR];200;"informatyka techniczna i telekomunikacja;
informatyka;"
985;International Joint Conference on e-Business and Telecommunications [ICETE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
986;International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management [IC3K];20;"informatyka techniczna i telekomunikacja;
informatyka;"
987;International Joint Conference on Natural Language Processing [IJCNLP];70;"informatyka techniczna i telekomunikacja;
informatyka;"
988;International Joint Conference on Qualitative and Quantitative Practical Reasoning [ESQARU];140;"informatyka techniczna i telekomunikacja;
informatyka;"
989;International KES Symposium on Agents and Multiagent systems - Technologies and Applications [KES AMSTA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
990;International Machine Vision and Image Processing Conference [IMVIP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
991;"DNA Computing and Molecular Programming [DNA]
(International Meeting on DNA Computing and Molecular Programming [DNA])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
992;International Natural Language Generation Conference [INLG];70;"informatyka techniczna i telekomunikacja;
informatyka;"
993;International Network Optimization Conference [INOC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
994;International Parallel Computing Workshop [PCW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
995;International Picture Coding Symposium [PCS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
996;International Python Conference [IPythC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
997;International Semantic Web Conference [ISWC];140;"informatyka techniczna i telekomunikacja;
informatyka;"
998;ISC High Performance (was International Supercomputing Conference) [ISC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
999;International Symposium Component-Based Software Engineering [CBSE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1000;International Symposium on 3D Data Processing Visualization and Transmission [3DPVT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1001;International Symposium on Advanced DB Technologies and Integration [ADTI];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1002;International Symposium on Algorithmic Game Theory [SAGT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1003;International Symposium on Algorithms and Computation [ISAAC];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1004;International Symposium on Applications and the Internet [SAINT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1005;International Symposium on Applied Algebra, Algebraic Algorithms and Error-Correcting Codes [AAAAECC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1006;International Symposium on Applied Computational Intelligence and Informatics [SACI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1007;International Symposium on Applied Machine Intelligence and Informatics [SAMI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1008;International Symposium on Artificial Intelligence and Mathematics [ISAIM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1009;International Symposium on Artificial Life and Robotics [AROB];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1010;International Symposium on Audio, Video, Image Processing and Intelligent Applications [ISAVIIA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1011;International Symposium on Automated Technology for Verification and Analysis [ATVA];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1012;International Symposium on Automation and Robotics in Construction [ISARC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1013;International Symposium on Autonomous Decentralized Systems [ISADS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1014;International Symposium on Circuits and Systems [CIRSYS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1015;International Symposium on Code Generation and Optimization [CGO];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1016;International Symposium on Collaborative Technologies and Systems [CTS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1017;International Symposium on Combinatorial Optimisation [ISCO];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1018;International Symposium on Computational Life Science [CompLife];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1019;International Symposium on Computer and Information Sciences [ISCIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1020;International Symposium on Computer Architecture and High Performance Computing [SBAC-PAD];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1021;International Symposium on Computer Design [COMPDES];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1022;International Symposium on Cooperative Database Systems for Advanced Applications [CODAS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1023;International Symposium on Data, privacy and E-Commerce [ISDPE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1024;International Symposium on Distributed Computing (was WDAG) [DISC];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1025;International Symposium on Empirical Software Engineering [ISESE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1026;International Symposium on Empirical Software Engineering and Measurement [ESEM];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1027;International Symposium on Experimental Algorithms [SEA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1028;International Symposium on Foundations of Intelligent Systems [ISMIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1029;International Symposium on Functional and Logic Programming [FLOPS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1030;"International Symposium on Fundamentals of Computation Theory [FCT]
(International Symposium on Fundamentals of Computer Theory [FCT])";140;"informatyka techniczna i telekomunikacja;
informatyka;"
1031;International Symposium on Future Software Technology [ISFST];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1032;"International Symposium on Grids and Clouds [ISGC]
(International Symposium on Grid Computing [ISGC])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
1033;International Symposium on High Performance Computer Architecture [HPCA];200;"informatyka techniczna i telekomunikacja;
informatyka;"
1034;International Symposium on Information and Communication Technologies [ISICT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1035;International Symposium on Information Assurance and Security [IAS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1036;International Symposium on Information Processing [ISIP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1037;International Symposium on Information Theory and Its Applications [ISITA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1038;International Symposium on Innovations in Intelligent Systems and Applications [INISTA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1039;International Symposium on Intelligent and Interactive Multimedia: Systems and Services [KES IIMSS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1040;International Symposium on Intelligent Systems and Informatics [SISY];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1041;International Symposium on Latin American Theoretical Informatics [LATIN];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1042;International Symposium on Leveraging Applications of Formal Methods, Verification and Validation [ISoLA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
1043;International Symposium on Logic-based Program Synthesis and Transformation [LOPSTR];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1044;International Symposium on Mathematical Foundations of Computer Science [MFCS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
1045;International Symposium on Mathematical Morphology [ISMM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
1046;International Symposium on Memory Management [ISMM];140;"informatyka techniczna i telekomunikacja;
informatyka;"
